DATE_TIME,IBF_ASH,IBF_MOISTURE,IBF_CRI,IBF_CSR,AMS_IBF,IBF GCQI,ORE_RATE,SINTER_RATE,COKE_RATE,PYROXINITE_RATE,QUARTZ_RATE,LIMESTONE_RATE,COAL_RATE,SLAG_RATE,K2O_IN_SLAG,K2O_IN,K2O_OUT,K2O_FLUSHING,PELLET_RATE,CORR_PRODUCTION,CORR_PI,CORR_CARBON_RATE,SINTER_PERC,CORR_NC_RATE,SLAGRATE,K2O Input,K2O slag,K2O Flushing,0,SINTER_RATE,QUARTZ_RATE,PYROXINITE_RATE,LIMESTONE_RATE,HMT,OXYGEN,DOLOMITE_RATE,Total Agglomerate,OVERALL MOIST LOAD (KG/THM),DUST FROM DUST CATCHER (Tons),SLURRY FROM PRESS FILTER,CAST_DURATION,SPEED,DELTA_HM_TEMP,DELTA_HM_WT,BGV,CLT,MVAL,FVAL,DCI,TFR,REL_DEADMAN_TEMP,MODIFIED_ALPHA_BY_BETA,ORE_BY_COKE_RADAR1,ORE_BY_COKE_RADAR2,C,SI,S,TI,CAO_SIO2,CAOMGOSIO2,HM_TEMP,Slag Fludity Index ,CENTRE COKE,PERC_CENTRE_COKE,COLD_BLAST_HUMIDITY,ETA_CO,LOWER_K,MIDDLE_K,UPPER_K,O2_ENRICHMENT,O2_FLOW,PERC_COKE_FINES_PRV_DAY,PERC_ORE_FINES_PRV_DAY,PERC_PELLET_FINES_PRV_DAY,PERC_SINTER_FINES_PRV_DAY,RAFT,TG_VOLUME,UPTAKE_TEMP_AVG,UPTAKE_TEMP_MAX_MIN,AVG. SKIN_FLOW_TEMP,COLD_BLAST_FLOW_RATE,Tuy Vel (m/s),Top Gas Pressure,Delta P,HOT_BLAST_TEMP,BFG_CO,BFG_CO2,BFG_H2,BFG_N2,"AVG
(A6&B6)",AVERAGE_ROOTHEIGHT,CIRCUIT_3_HL_MJ_H,TOTAL_HEAT_LOSS_GJ_H,MEAN_SIZE,CORR_COKE_RATE,CORR_COAL_RATE
1-Apr-17,16.27,3.1,26,66.2,44.57,138.26,209,807,305,2,22,0,206,310,0.48,1.55,1.48,95.7,597,9557,2.96,426,50,18,310,1.49,1.42,95.3,24,807,22,2,0,1516,943,0,87,24,54,187,1475,5.96,7,249,8182,186,16.5,2.68,259,0.87,969,1.27,1.79,1.74,4.57,0.67,0.049,0.062,1.03,1.34,1516,130,4.97,24.47,29.1,50.79,1.53,0.77,0.55,7.72,32502,30.3,1.7,2.3,18.9,2110,517676,119,17,156,300054,185,150119.37,-150000.68,1229,24.9,25.7,4.1,45.2,90,6.76,54653,95,11.76,303,205
2-Apr-17,15.78,3.27,26,66.5,44.98,137.71,206,715,307,10,0,0,207,303,0.57,1.78,1.74,97.5,663,9369,2.9,433,45,14,303,1.45,1.67,115.8,43,715,0,10,0,1516,856,33,87,28,34,99,1485,6.27,18,160,7930,193,16.4,2.61,285,0.86,980,1.3,1.41,1.39,4.53,0.66,0.04,0.07,1.02,1.34,1516,127,5.17,24.75,23.5,49.89,1.69,0.84,0.46,8.49,34705,30.6,1.9,0.9,20.2,2166,503917,97,13,95,288102,178,144139.73,-144042.67,1239,25.6,25.5,4.3,44.6,82,6.76,86156,122,11.96,308,208
3-Apr-17,15.51,2.73,24.9,68.1,45.58,138.97,220,753,295,8,10,0,217,296,0.42,1.34,1.25,93.6,596,8532,2.64,437,48,16,296,1.46,1.29,88.4,19,753,10,8,0,1499,951,0,86,23,38,99,1530,5.39,31,199,7407,188,14.6,2.97,211,0.82,776,1.33,1.2,1.38,4.57,0.74,0.034,0.077,1.1,1.34,1499,86,4.99,24.58,25,50.98,1.43,0.84,0.52,8.73,32620,30.2,2.6,3.4,17.8,2081,462148,115,17,152,267074,165,133619.67,-133504.91,1181,24.8,25.8,4.5,45,105,4.67,79531,117,11.86,301,221
4-Apr-17,14.97,2.73,24.9,67.3,46.4,139.46,225,721,319,15,10,0,203,316,0.53,1.84,1.69,91.5,659,9149,2.83,440,45,18,317,1.5,1.71,114.1,24,721,10,15,0,1508,994,0,86,27,88,162,1675,5.92,18,273,8018,197,16.7,2.68,244,0.85,990,1.29,1.2,1.62,4.54,0.75,0.042,0.073,1.07,1.34,1508,110,5.12,24.52,27,49.52,1.62,0.82,0.41,8.22,33999,31.1,2.5,1.1,18.4,2169,508113,100,12,129,292602,181,146391.25,-146291.31,1239,25.7,25.2,4.2,44.9,73,3.84,81384,120,11.82,321,204
6-Apr-17,14.98,3.05,26.5,64.8,43.65,97.95,64,833,354,0,14,0,158,344,0.47,1.38,1.6,116.5,704,8909,2.76,436,52,19,344,1.58,1.61,102,41,833,14,0,0,1507,714,27,96,16,112,132,1525,5.72,8,214,8236,216,18.1,2.54,245,0.82,1023,1.18,0.85,1.67,4.61,0.55,0.046,0.051,1.05,1.34,1507,112,5.23,23.76,12,50,1.61,0.7,0.52,4.57,20855,31.6,2.9,0.7,13.1,2207,534845,128,27,162,340064,210,170136.87,-170008.99,1155,23.6,23.6,3.1,49.6,94,5.96,67878,105,11.99,357,160
8-Apr-17,15.16,3.47,25.3,66.19,45.69,138.89,215,736,348,26,6,0,202,311,0.48,1.47,1.5,102.1,583,8739,2.71,472,48,13,311,1.6,0,0,32,736,6,26,0,1497,842,0,86,27,35,99,1625,5.2,12,1163,7806,202,16,2.61,252,0.77,982,1.31,1.13,1.2,4.53,0.58,0.049,0.058,1.04,1.34,1497,110,7.7,26.65,28.8,49.6,1.71,0.73,0.47,7.87,31587,29.9,5.8,3.4,18.3,2145,492619,130,22,151,286033,177,143104.97,-142974.91,1242,25.3,24.9,4.5,45.3,111,5.96,78346,116,12,359,208
9-Apr-17,15.11,3.17,30.9,61.8,45.55,129.03,65,849,360,19,1,0,157,332,0.44,1.56,1.45,93.4,718,9022,2.79,431,52,19,332,1.58,1.71,108.5,29,849,1,19,0,1500,690,10,96,13,96,132,1505,5.8,11,358,8210,216,18.2,2.37,253,0.84,1019,1.18,1.62,1.42,4.55,0.48,0.039,0.055,1.09,1.34,1500,87,5.23,23.76,12,49.71,1.62,0.87,0.53,4.41,20137,32.2,1,0.8,12.9,2212,529522,130,29,155,340345,210,170277.49,-170147.85,1162,23.6,23.3,2.9,50.2,94,5.16,82937,120,11.96,356,155
10-Apr-17,15.42,2.9,27.93,63.63,46.69,133.22,128,796,321,16,10,0,189,325,0.54,1.78,1.74,98,678,9177,2.84,431,50,13,325,1.49,1.42,95.7,26,796,10,16,0,1515,960,0,92,15,40,132,1515,5.75,16,220,7980,202,17.3,2.62,277,0.85,1005,2.56,1.54,1.59,4.53,0.63,0.04,0.065,1.06,1.34,1515,113,5.28,24.28,12,49.93,1.67,0.74,0.55,6.52,28019,30.6,2.6,2,14.9,2216,512363,120,26,148,311234,192,155712.83,-155592.87,1208,24.7,24.6,3.4,47.4,89,7.35,60065,101,12.1,322,189
11-Apr-17,15.42,2.83,26.4,67.4,46.25,137.86,207,757,320,4,10,0,197,304,0.5,1.75,1.52,87,616,8928,2.76,436,48,17,304,1.51,1.54,101.8,45,757,10,4,0,1499,861,31,86.9,25,63,130,1600,6.03,11,335,7855,207,16.3,2.75,,1.24,917,1.24,1.51,1.59,17.17,0.83,0.044,0.078,1.08,1.34,1499,97,4.96,24.46,28.5,50.22,1.68,0.74,0.43,8.02,32569,30.4,0.6,1.6,16.9,2161,495503,102,13,124,287878,178,144027.83,-143925.37,1223,25.1,25.3,4.3,45.3,93,7.35,81271,120,11.91,323,198
14-Apr-17,16.01,2.93,25.47,67.76,45.19,138.72,211,730,416,8,11,0,127,304,0.41,1.61,1.23,76.6,681,8365,2.59,447,45,16,304,1.7,1.23,72.6,28,730,11,8,0,1508,818,9,87,25,44,99,1700,5.06,6,541,7735,242,17.9,2.62,248,0.84,1065,1.47,0.37,0.92,4.54,0.73,0.051,0.065,1.04,1.34,1508,120,6.46,24.99,44.4,46.95,1.81,0.68,0.35,5.9,24014,30.3,3,2.1,16.8,2225,483243,110,20,52,297175,183,148679.25,-148569.05,1228,25.4,22.5,4.1,48,313,5.59,62774,97,11.99,408,125
